Results
0.418753824
0.418753824
0.418753824
0.74257689
0.77570586
0.809175184
1.078550912
1.078550912
1.078550912
1.110950456
1.142716695
1.402227796
1.420203866
1.489132792
1.489132792
1.489132792
1.489132792
1.385257521
1.341461421
1.341461421
1.317306341
1.016749395
0.983129563
